번호,원본 키워드,원본 레이어,필요충분조건 키워드
1,교차로 진입부 신호등,L2,적신호 대기 차량
2,교차로 진입부 중앙분리대,L2,중앙 분리 구조물 충돌 차량
3,교차로 진입부 어린이보호구역 표지판,L2,어린이 밀집 통학 구간
4,교차로 진입부 자전거 전용 도로 표지판,L2,붉은 도로 위 자전거 행렬
5,교차로 진입부 과속방지턱,L2,턱 통과 덜컹이는 차량
6,교차로 진입부 보행자섬,L2,도로 중앙 보행 대기
7,교차로 진입부 반사경,L2,반사거울 확인 운전자
8,교차로 진입부 정지선,L2,실선 앞 정차 차량
9,교차로 진입부 안전지대,L2,노란 빗금 안전 공간
10,교차로 진입부 노면색깔유도선,L2,색깔선 따라 분기
11,교차로 진입부 시선유도봉,L2,중앙 주황 봉에 막힌 차량
12,교차로 진입부 무인단속카메라,L2,과속 단속 차량
13,교차로 진입부 횡단보도 예고표시,L2,전방 마름모기호 횡단 경계 차량
14,교차로 진입부 노면 진입금지 표시,L2,진입 차단 표시 앞 차량
15,교차로 진입부 점멸신호기,L2,점멸 신호 서행 차량
16,교차로 진입부 보행자 방호울타리,L2,울타리 넘는 보행자
17,교차로 진입부 충격흡수시설,L2,분기 말단 충돌 차량
18,교차로 진입부 가변정보표지판(VMS),L2,전광판 실시간 정보 확인 운전자
19,교차로 진입부 야생동물주의표지판,L2,야생동물 경고 구간
20,교차로 진입부 우회전 전용신호등,L2,우회전 신호 대기 운전자
21,단일로 직선구간 신호등,L2,적신호 정지 차량
22,단일로 직선구간 중앙분리대,L2,중앙 분리 구조물 충돌 차량
23,단일로 직선구간 어린이보호구역 표지판,L2,어린이 밀집 통학 구간
24,단일로 직선구간 자전거 전용 도로 표지판,L2,붉은 도로 위 자전거 행렬
25,단일로 직선구간 과속방지턱,L2,턱 통과 덜컹이는 차량
26,단일로 직선구간 보행자섬,L2,도로 중앙 보행 대기
27,단일로 직선구간 반사경,L2,반사거울 확인 운전자
28,단일로 직선구간 정지선,L2,실선 앞 정차 차량
29,단일로 직선구간 안전지대,L2,노란 빗금 안전 공간
30,단일로 직선구간 노면색깔유도선,L2,색깔선 따라 분기
31,단일로 직선구간 시선유도봉,L2,중앙 주황 봉에 막힌 차량
32,단일로 직선구간 무인단속카메라,L2,과속 단속 차량
33,단일로 직선구간 횡단보도 예고표시,L2,전방 마름모기호 횡단 경계 차량
34,단일로 직선구간 노면 진입금지 표시,L2,진입 차단 표시 앞 차량
35,단일로 직선구간 점멸신호기,L2,점멸 신호 서행 차량
36,단일로 직선구간 보행자 방호울타리,L2,울타리 넘는 보행자
37,단일로 직선구간 충격흡수시설,L2,분기 말단 충돌 차량
38,단일로 직선구간 가변정보표지판(VMS),L2,전광판 실시간 정보 확인 운전자
39,단일로 직선구간 야생동물주의표지판,L2,고라니랑 충돌
40,삼거리 우회전 전용신호등,L2,우회전 신호 대기 운전자
41,우회전 모퉁이 신호등,L2,모퉁이 우회전 대기 차량
42,우회전 모퉁이 중앙분리대,L2,모퉁이 중앙 분리 구조물
43,우회전 모퉁이 어린이보호구역 표지판,L2,어린이 밀집 통학 구간
44,우회전 모퉁이 자전거 전용 도로 표지판,L2,붉은 도로 위 자전거 행렬
45,우회전 모퉁이 과속방지턱,L2,턱 통과 덜컹이는 차량
46,우회전 모퉁이 보행자섬,L2,도로 중앙 보행 대기
47,우회전 모퉁이 반사경,L2,반사거울 확인 운전자
48,우회전 모퉁이 정지선,L2,실선 앞 정차 차량
49,우회전 모퉁이 안전지대,L2,노란 빗금 안전 공간
50,우회전 모퉁이 노면색깔유도선,L2,색깔선 따라 분기
51,우회전 모퉁이 시선유도봉,L2,우회전 곡선부 주황 봉 차단 차량
52,우회전 모퉁이 무인단속카메라,L2,모퉁이 감속 위반 포착 차량
53,우회전 모퉁이 횡단보도 예고표시,L2,코너 진입 전 마름모 경계 차량
54,우회전 모퉁이 노면 진입금지 표시,L2,회전 궤적 밖 금지표시 접근 차량
55,우회전 모퉁이 점멸신호기,L2,코너 진입 전 점멸 주시 차량
56,우회전 모퉁이 보행자 방호울타리,L2,보도 경계 울타리 넘는 보행자
57,우회전 모퉁이 충격흡수시설,L2,곡각 말단 완충부 충돌 차량
58,우회전 모퉁이 가변정보표지판(VMS),L2,회전 전 전광문안 읽는 운전자
59,우회전 모퉁이 야생동물주의표지판,L2,코너 가장자리 고라니 출현
60,우회전 모퉁이 우회전 전용신호등,L2,코너 우회전 화살표 대기 운전자
61,버스정류장 인근 신호등,L2,정류장 앞 적색신호 대기 차량
62,버스정류장 인근 중앙분리대,L2,승강장 맞은편 분리벽 접촉 차량
63,버스정류장 인근 어린이보호구역 표지판,L2,통학 정류장 주변 어린이 밀집 구간
64,버스정류장 인근 자전거 전용 도로 표지판,L2,정류장 옆 붉은 노면 자전거 흐름
65,버스정류장 인근 과속방지턱,L2,정차 구간 앞 덜컹임 유발 차량
66,버스정류장 인근 보행자섬,L2,승객 횡단용 중앙 대기 공간
67,버스정류장 인근 반사경,L2,정류장 사각 확인 반사거울 주시 운전자
68,버스정류장 인근 정지선,L2,정류장 전 실선 맞춤 정차 차량
69,버스정류장 인근 안전지대,L2,승하차 인근 노란 빗금 보호 공간
70,버스정류장 인근 노면색깔유도선,L2,정류장 우회용 색선 분기 구간
71,버스정류장 인근 시선유도봉,L2,정류장 가장자리 유도봉 막힘 차량
72,버스정류장 인근 무인단속카메라,L2,승하차 구간 과속 적발 차량
